metric,welch_t,welch_p,mwu_U,mwu_p
mean_R,10.951221821716885,1.85559850093157e-20,4333.0,4.300103293298229e-15
mean_G,16.567546894271576,4.607317091157874e-33,4703.0,6.1187183627410246e-21
mean_B,-6.10223175021975,2.2614856036406053e-08,1691.0,0.0015708540823369172
greenness_idx,6.695018328213008,1.351157800267859e-09,3518.0,8.622649767107605e-06
redness_idx,8.760410510330075,1.4795402681226324e-14,4162.0,9.808710508403247e-13
mean_L,15.412983886640811,2.426970293110523e-30,4632.0,9.721243636933525e-20
mean_a,-23.5812904982036,4.557965705950486e-50,1.0,1.8866588005443102e-24
mean_b,19.362959759843775,2.3239866127746032e-35,4884.0,3.585355251191764e-24
std_L,5.781331478594142,4.9551640258442025e-08,3598.0,1.7309935183231973e-06
std_a,16.52657022635757,7.464482941881788e-29,4900.0,1.8073585171256998e-24
std_b,11.160604569652916,3.5961044835633e-18,4646.0,5.673742702666963e-20
glcm_contrast,-21.37007018257224,7.556331177571607e-39,34.0,7.707594789748342e-24
glcm_homogeneity,21.608475600059347,2.810102942297035e-45,4892.0,2.5469912322396073e-24
glcm_energy,3.7246487556715544,0.00036913599074689293,3012.0,0.019272823143094413
glcm_correlation,16.562800944914954,3.1823168483776475e-26,4866.0,7.707594789748342e-24
area_px,19.709988217224268,7.467171436139449e-33,4751.0,8.981745762936183e-22
aspect_ratio,2.454287531622441,0.015711610020030537,2686.0,0.32582963940677356
extent,-4.219317833655079,6.417182365138899e-05,1690.0,0.0015485232906879674
solidity,-7.509542328735305,1.1837875385136278e-10,610.0,1.7655881373623284e-14
compactness,-12.220520528172239,1.4364519503341792e-19,317.0,6.232946521185245e-19
